2018-11-07T00:07:47.768116	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-83
2018-11-07T00:07:49.689324	18:65:90:d6:a3:cd	Apple, Inc.		-83
2018-11-07T00:07:51.101129	00:27:49:36:da:ea	UNKNOWN		-81
2018-11-07T00:07:53.228655	52:79:a0:58:c1:a2	UNKNOWN		-81
2018-11-07T00:07:57.123131	84:c9:b2:d6:0e:69	D-Link International		-73
2018-11-07T00:07:59.598455	14:4f:8a:d5:5e:da	UNKNOWN		-79
2018-11-07T00:07:59.651947	a2:6d:dd:4b:77:44	UNKNOWN		-77
2018-11-07T00:08:01.894252	0c:84:dc:0b:e7:45	Hon Hai Precision Ind. Co.,Ltd.	SmileLab92583	-85
2018-11-07T00:08:13.436201	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd		-83
2018-11-07T00:08:13.452589	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd		-87
2018-11-07T00:08:16.655356	54:27:1e:27:56:a3	AzureWave Technology Inc.	SmileLab92583	-85
2018-11-07T00:08:19.773378	80:7a:bf:5d:a3:4a	HTC Corporation		-87
2018-11-07T00:08:26.012484	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd		-85
2018-11-07T00:08:41.868458	3c:95:09:9a:08:e1	UNKNOWN		-89
2018-11-07T00:08:47.596518	ae:5f:95:21:ef:aa	UNKNOWN		-81
2018-11-07T00:08:47.797094	1c:70:22:0a:82:46	UNKNOWN		-59
2018-11-07T00:08:50.265003	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-85
2018-11-07T00:08:51.687145	b6:0b:15:97:f7:13	UNKNOWN		-89
2018-11-07T00:08:53.107446	26:27:1e:27:57:3b	UNKNOWN		-87
2018-11-07T00:08:56.508385	54:27:1e:27:57:3b	AzureWave Technology Inc.		-87
2018-11-07T00:08:57.170163	84:c9:b2:d6:0e:69	D-Link International		-73
2018-11-07T00:08:57.544465	b8:27:eb:50:01:2a	Raspberry Pi Foundation		-53
2018-11-07T00:08:57.796016	80:a5:89:52:c4:4f	AzureWave Technology Inc.	NCKUEE-802.1x	-83
2018-11-07T00:08:59.484860	d4:6d:6d:75:23:3f	UNKNOWN		-49
2018-11-07T00:08:59.583876	d4:6d:6d:75:23:3f	UNKNOWN		-55
2018-11-07T00:09:21.574864	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-71
2018-11-07T00:09:26.762458	80:7a:bf:5d:a3:4a	HTC Corporation		-89
2018-11-07T00:09:27.405462	00:27:49:36:da:ea	UNKNOWN		-85
2018-11-07T00:09:29.271261	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd		-85
2018-11-07T00:09:31.678477	18:65:90:d6:a3:cd	Apple, Inc.		-71
2018-11-07T00:09:43.960458	3e:72:c3:26:41:bb	UNKNOWN		-69
2018-11-07T00:09:44.374122	3c:95:09:9a:08:e1	UNKNOWN		-89
2018-11-07T00:09:46.795899	8e:d2:b4:51:6d:d1	UNKNOWN		-61
2018-11-07T00:09:47.891154	1c:70:22:0a:82:46	UNKNOWN		-59
2018-11-07T00:09:52.640201	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-85
2018-11-07T00:09:57.282173	4a:ed:6a:66:f2:67	UNKNOWN		-69
2018-11-07T00:10:03.980354	76:56:95:9c:80:73	UNKNOWN		-65
2018-11-07T00:10:09.577751	00:27:49:36:da:ea	UNKNOWN		-83
2018-11-07T00:10:11.439888	b6:ff:9b:c8:83:ec	UNKNOWN		-63
2018-11-07T00:10:18.614660	d4:0b:1a:67:7b:bd	HTC Corporation		-75
2018-11-07T00:10:23.683075	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-81
2018-11-07T00:10:23.690723	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-85
2018-11-07T00:10:23.698021	84:4b:f5:08:0c:a6	Hon Hai Precision Ind. Co.,Ltd.	unconfigured	-85
2018-11-07T00:10:28.953227	e2:bc:8d:4a:83:c2	UNKNOWN		-83
2018-11-07T00:10:29.701322	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd	SmileLab92583	-83
2018-11-07T00:10:29.711255	00:08:ca:33:66:1e	TwinHan Technology Co.,Ltd	SmileLab92583	-85
2018-11-07T00:10:38.423253	d4:0b:1a:67:7b:bd	HTC Corporation		-75
2018-11-07T00:10:51.260680	d4:0b:1a:67:7b:bd	HTC Corporation		-81
2018-11-07T00:10:51.281141	d4:0b:1a:67:7b:bd	HTC Corporation		-81
2018-11-07T00:10:59.764540	8a:44:df:e2:69:49	UNKNOWN		-63
2018-11-07T00:10:59.791874	d4:6d:6d:75:23:3f	UNKNOWN		-47
2018-11-07T00:11:00.786041	d4:6d:6d:75:23:3f	UNKNOWN		-47
2018-11-07T00:11:01.679440	d4:6d:6d:75:23:3f	UNKNOWN		-47
2018-11-07T00:11:02.890369	74:da:38:6a:ca:02	Edimax Technology Co. Ltd.	2F LAB Teacher	-83
2018-11-07T00:11:10.208603	e2:bc:8d:4a:83:c2	UNKNOWN		-81
2018-11-07T00:11:10.575008	04:69:f8:dc:49:f7	Apple, Inc.		-89
2018-11-07T00:11:18.895742	80:30:dc:ec:c7:a5	Texas Instruments	dcl_2016_5g	-85
2018-11-07T00:11:32.765178	d4:0b:1a:67:7b:bd	HTC Corporation		-75
2018-11-07T00:11:35.963671	80:7a:bf:5d:a3:4a	HTC Corporation		-83
2018-11-07T00:11:36.815480	5c:e0:c5:79:ba:a8	Intel Corporate		-81
2018-11-07T00:11:49.048690	80:7a:bf:5d:a3:4a	HTC Corporation		-79
2018-11-07T00:11:57.058601	84:c9:b2:d6:0e:69	D-Link International		-73
